epoch,accuracy,loss,val_accuracy,val_loss
0,0.8096872568130493,0.47833654284477234,0.7924324870109558,0.6145237684249878
0,0.8096691370010376,0.4776042699813843,0.8532539010047913,0.415134996175766
1,0.8792856931686401,0.2950133979320526,0.8799937963485718,0.30321818590164185
2,0.887259304523468,0.2715397775173187,0.8806101679801941,0.29362550377845764
3,0.8923097848892212,0.2572595477104187,0.8809999227523804,0.2897767126560211
4,0.8964347243309021,0.24489031732082367,0.8849265575408936,0.2809877395629883
5,0.8977950215339661,0.24100640416145325,0.8888999819755554,0.2740170955657959
6,0.9008918404579163,0.23278629779815674,0.8880692720413208,0.27621519565582275
7,0.9030287265777588,0.22648680210113525,0.8868215084075928,0.2812632620334625
8,0.9070236086845398,0.21549198031425476,0.8914708495140076,0.27301260828971863
9,0.9089346528053284,0.21001765131950378,0.8898196816444397,0.27964234352111816
10,0.9122175574302673,0.20114225149154663,0.8934888243675232,0.2731509804725647
11,0.9153110384941101,0.1925787627696991,0.8903411030769348,0.28602978587150574
12,0.9196512699127197,0.18191485106945038,0.8940719366073608,0.28175368905067444
13,0.9216800332069397,0.17656423151493073,0.8933335542678833,0.27413153648376465
14,0.9252789616584778,0.16722185909748077,0.8917178511619568,0.28486669063568115
15,0.9283875226974487,0.15965536236763,0.892191469669342,0.29678431153297424
16,0.9309836030006409,0.1530362218618393,0.8914065957069397,0.29666808247566223
17,0.9347712993621826,0.14420455694198608,0.8906590938568115,0.30865374207496643
18,0.9368022680282593,0.13869793713092804,0.8913514614105225,0.3162405490875244
19,0.939217746257782,0.13266006112098694,0.8909511566162109,0.32002776861190796
